# era_map.tsv — v4 — NORM DECISION 2026-07-14: target = 2009 imla standard (Milletler Til-Yeziq Komiteti lughiti)
# Direction: contemporary web-raised ىيى forms -> 2009-standard ىيە forms (variant<TAB>standard)
# Built label-free: direction derived from characters, arbitrated per-word against imla_dict_2009.md
# (163 dict-confirmed, 1082 class-rule default, 5 dict exceptions mapped toward ى)
# v4.1: ـىيەت-possessive class fixed — alternation followed by ت+vowel raises (جەمئىيىتى، مۇۋەپپەقىيىتى per dict)
ئېكىسپېدىتسىيىچىلىرى	ئېكىسپېدىتسىيەچىلىرى
ئېكولوگىيىنىڭ	ئېكولوگىيەنىڭ
تەربىيىلىنىشى	تەربىيەلىنىشى
پىسخولوگىيىگە	پىسخولوگىيەگە
نەزەرىيىلەرنى	نەزەرىيەلەرنى
مانجۇرىيىدىكى	مانجۇرىيەدىكى
دىپلوماتىيىسى	دىپلوماتىيەسى
ناھىيىلەردىمۇ	ناھىيەلەردىمۇ
ئوپېراتسىيىسى	ئوپېراتسىيەسى
جۇڭغارىيىدىكى	جۇڭغارىيەدىكى
ئاپتونومىيىگە	ئاپتونومىيەگە
بۇرژۇئازىيىگە	بۇرژۇئازىيەگە
بىئولوگىيىلىك	بىئولوگىيەلىك
دىۋىزىيىسىنىڭ	دىۋىزىيەسىنىڭ
فىنلاندىيىنىڭ	فىنلاندىيەنىڭ
ئىمپېرىيىسىدە	ئىمپېرىيەسىدە
ناھىيىلىرىنىڭ	ناھىيەلىرىنىڭ
ئېرلاندىيىنىڭ	ئېرلاندىيەنىڭ
ئىدىيىلەرنىلا	ئىدىيەلەرنىلا
فىرانسىيىدىكى	فىرانسىيەدىكى
ئېتمولوگىيىسى	ئېتمولوگىيەسى
مېلودىيىسىنىڭ	مېلودىيەسىنىڭ
نەزەرىيىلەرگە	نەزەرىيەلەرگە
سىمفونىيىسىنى	سىمفونىيەسىنى
تەربىيىلەشنىڭ	تەربىيەلەشنىڭ
ستراتېگىيىلىك	ستراتېگىيەلىك
لېكسىكولوگىيى	لېكسىكولوگىيە
گوللاندىيىلىك	گوللاندىيەلىك
ئاپتونومىيىنى	ئاپتونومىيەنى
ئىمپېرىيىدىكى	ئىمپېرىيەدىكى
مەدھىيىلىنىدۇ	مەدھىيەلىنىدۇ
مەدھىيىلەنگەن	مەدھىيەلەنگەن
ئىسرائىلىيىگە	ئىسرائىلىيەگە
بۇرژۇئازىيىنى	بۇرژۇئازىيەنى
تېرىتورىيىنىڭ	تېرىتورىيەنىڭ
ئارمىيىمىزنىڭ	ئارمىيەمىزنىڭ
ماكېدونىيىنىڭ	ماكېدونىيەنىڭ
تەربىيىلەيتتى	تەربىيەلەيتتى
ئېنېرگىيىسىنى	ئېنېرگىيەسىنى
كومېدىيىلەردە	كومېدىيەلەردە
پوزىتسىيىسىدە	پوزىتسىيەسىدە
نەزەرىيىسىدۇر	نەزەرىيەسىدۇر
گىئولوگىيىلىك	گىئولوگىيەلىك
فۇنكسىيىسىدىن	فۇنكسىيەسىدىن
پسىخولوگىيىسى	پسىخولوگىيەسى
تېررىتورىيىنى	تېررىتورىيەنى
ئېكسكۇرسىيىگە	ئېكسكۇرسىيەگە
ئىمپېرىيىسىمۇ	ئىمپېرىيەسىمۇ
ئاۋسترالىيىنى	ئاۋسترالىيەنى
نەزەرىيىچىلەر	نەزەرىيەچىلەر
موڭغۇلىيىدىكى	موڭغۇلىيەدىكى
ئىئوردانىيىگە	ئىئوردانىيەگە
تەربىيىلەيمىز	تەربىيەلەيمىز
مورفولوگىيىسى	مورفولوگىيەسى
فۇنكسىيىلەرنى	فۇنكسىيەلەرنى
پارتىيىمىزنىڭ	پارتىيەمىزنىڭ
بۇرژۇئازىيىچە	بۇرژۇئازىيەچە
ئىمپېرىيىسىنى	ئىمپېرىيەسىنى
بىيوخىمىيىلىك	بىيوخىمىيەلىك
ئىسپانىيىدىكى	ئىسپانىيەدىكى
ئىسرائىلىيىدە	ئىسرائىلىيەدە
ئەنگىلىيىدىكى	ئەنگىلىيەدىكى
تېررىتورىيىسى	تېررىتورىيەسى
گېرمانىيىدىكى	گېرمانىيەدىكى
پارتىيىلەرنىڭ	پارتىيەلەرنىڭ
پارتىيىۋىلىكى	پارتىيەۋىلىكى
ھىندونېزىيىگە	ھىندونېزىيەگە
فىنلاندىيىلىك	فىنلاندىيەلىك
ئوپېراتسىيىنى	ئوپېراتسىيەنى
تىراگېدىيىلەر	تىراگېدىيەلەر
ۋېنگىرىيىدىكى	ۋېنگىرىيەدىكى
شىۋىتسارىيىگە	شىۋىتسارىيەگە
ئېكولوگىيىلىك	ئېكولوگىيەلىك
ئېرلاندىيىلىك	ئېرلاندىيەلىك
ئىئوردانىيىدە	ئىئوردانىيەدە
گىمنازىيىسىدە	گىمنازىيەسىدە
دېموكراتىيىنى	دېموكراتىيەنى
دىپلوماتىيىدە	دىپلوماتىيەدە
كالىفورنىيىگە	كالىفورنىيەگە
تراگېدىيىدىكى	تراگېدىيەدىكى
كومپارتىيىنىڭ	كومپارتىيەنىڭ
پارتىيىسىدىكى	پارتىيەسىدىكى
ئەرمىنىيىدىكى	ئەرمىنىيەدىكى
پوزىتسىيىلىرى	پوزىتسىيەلىرى
كاتېگورىيىلەر	كاتېگورىيەلەر
مۇۋەپپەقىيەتى	مۇۋەپپەقىيىتى
كاتېگورىيىنى	كاتېگورىيەنى
نەزەرىيىدىكى	نەزەرىيەدىكى
ئاناتولىيىگە	ئاناتولىيەگە
فىرانسىيىلىك	فىرانسىيەلىك
پارتىيىسىدىن	پارتىيەسىدىن
گىمنازىيىدىن	گىمنازىيەدىن
ئارمىيىسىنىڭ	ئارمىيەسىنىڭ
ئارمىيىمىزنى	ئارمىيەمىزنى
تەربىيىلىسەك	تەربىيەلىسەك
تەنتەربىيىگە	تەنتەربىيەگە
ئىسپانىيىنىڭ	ئىسپانىيەنىڭ
ئېتنوگرافىيى	ئېتنوگرافىيە
تەربىيىلەپتۇ	تەربىيەلەپتۇ
ئىستراتېگىيى	ئىستراتېگىيە
ئىسپانىيىدىن	ئىسپانىيەدىن
فىنلاندىيىگە	فىنلاندىيەگە
فورماتسىيىسى	فورماتسىيەسى
پارتىيىۋىلىك	پارتىيەۋىلىك
ساناتورىيىسى	ساناتورىيەسى
ناھىيىسىدىكى	ناھىيەسىدىكى
ئېتىمولوگىيى	ئېتىمولوگىيە
موڭغۇلىيىنىڭ	موڭغۇلىيەنىڭ
ئالجىرىيىلىك	ئالجىرىيەلىك
ئىدىيىسىدىكى	ئىدىيەسىدىكى
ئىمپېرىيىلەر	ئىمپېرىيەلەر
تەربىيىسىنىڭ	تەربىيەسىنىڭ
نەزەرىيىسىدە	نەزەرىيەسىدە
تراگېدىيىلىك	تراگېدىيەلىك
تەربىيىلەشنى	تەربىيەلەشنى
پوزىتسىيىنىڭ	پوزىتسىيەنىڭ
لىنىيىلىرىنى	لىنىيەلىرىنى
تەربىيىلىنىپ	تەربىيەلىنىپ
ئەرمىنىيىنىڭ	ئەرمىنىيەنىڭ
سىبىرىيىدىكى	سىبىرىيەدىكى
ياپونىيىگىمۇ	ياپونىيەگىمۇ
ناھىيىلىرىدە	ناھىيەلىرىدە
فىلولوگىيىسى	فىلولوگىيەسى
تۈركىيىلەردە	تۈركىيەلەردە
ئەنگىلىيىنىڭ	ئەنگىلىيەنىڭ
چارروسىيىنىڭ	چارروسىيەنىڭ
كاتېگورىيىسى	كاتېگورىيەسى
گېئومېتىرىيى	گېئومېتىرىيە
ئاۋسترىيىلىك	ئاۋسترىيەلىك
باكتىرىيىنىڭ	باكتىرىيەنىڭ
پارتىيىسىنىڭ	پارتىيەسىنىڭ
ئىتالىيىدىكى	ئىتالىيەدىكى
كاتېگورىيىگە	كاتېگورىيەگە
ئىمپېرىيىلىك	ئىمپېرىيەلىك
ۋېنگىرىيىدىن	ۋېنگىرىيەدىن
فىدراتسىيىسى	فىدراتسىيەسى
فىرانسىيىنىڭ	فىرانسىيەنىڭ
كومپارتىيىسى	كومپارتىيەسى
ئاكادېمىيىسى	ئاكادېمىيەسى
پوزىتسىيىڭنى	پوزىتسىيەڭنى
مەدھىيىلىگەن	مەدھىيەلىگەن
برىتانىيىنىڭ	برىتانىيەنىڭ
فۇنكسىيىسىگە	فۇنكسىيەسىگە
مەدھىيىلەندى	مەدھىيەلەندى
گېرمانىيىلىك	گېرمانىيەلىك
گېرمانىيىنىڭ	گېرمانىيەنىڭ
گېرمانىيىدەك	گېرمانىيەدەك
بۇلغارىيىدىن	بۇلغارىيەدىن
تىراگېدىيىسى	تىراگېدىيەسى
ئېنېرگىيىنىڭ	ئېنېرگىيەنىڭ
ۋېنگىرىيىلىك	ۋېنگىرىيەلىك
فىرانسىيىدىن	فىرانسىيەدىن
ئاۋسترىيىنىڭ	ئاۋسترىيەنىڭ
كورىيىلىكلەر	كورىيەلىكلەر
نەزەرىيىسىگە	نەزەرىيەسىگە
ئىتالىيىدىمۇ	ئىتالىيەدىمۇ
گارمونىيىلىك	گارمونىيەلىك
مەدھىيىلەرنى	مەدھىيەلەرنى
كومېدىيىسىنى	كومېدىيەسىنى
ئىدىيىلىرىنى	ئىدىيەلىرىنى
تېلېۋىزىيىدە	تېلېۋىزىيەدە
تەربىيىلەشمۇ	تەربىيەلەشمۇ
ناھىيىلىرىگە	ناھىيەلىرىگە
لىنىيىلىرىگە	لىنىيەلىرىگە
تىراگېدىيىگە	تىراگېدىيەگە
ئېنېرگىيىلەر	ئېنېرگىيەلەر
ئىدىيىلەرنىڭ	ئىدىيەلەرنىڭ
تراگېدىيىنىڭ	تراگېدىيەنىڭ
ئىمپېرىيىدىن	ئىمپېرىيەدىن
ئېنېرگىيىدىن	ئېنېرگىيەدىن
پارتىيىلەرنى	پارتىيەلەرنى
تېئولوگىيىسى	تېئولوگىيەسى
كومپارتىيىنى	كومپارتىيەنى
تەنتەربىيىنى	تەنتەربىيەنى
جۇڭغارىيىنىڭ	جۇڭغارىيەنىڭ
پوزىتسىيىلەر	پوزىتسىيەلەر
پوزىتسىيىدىن	پوزىتسىيەدىن
گېرمانىيىدىن	گېرمانىيەدىن
گىرېتسىيىنىڭ	گىرېتسىيەنىڭ
ئەنگىلىيىدىن	ئەنگىلىيەدىن
فۇنكسىيىسىدە	فۇنكسىيەسىدە
قەشقەرىيىدىن	قەشقەرىيەدىن
بىئولوگىيىدە	بىئولوگىيەدە
رومىنىيىدىكى	رومىنىيەدىكى
ئىستىخىيىلىك	ئىستىخىيەلىك
تەربىيىلەيدۇ	تەربىيەلەيدۇ
تەربىيىلىنىش	تەربىيەلىنىش
پوزىتسىيىمىز	پوزىتسىيەمىز
تەربىيىلەندى	تەربىيەلەندى
ناھىيىسىگىچە	ناھىيەسىگىچە
لىنىيىسىدىكى	لىنىيەسىدىكى
ئەنگلىيىدىكى	ئەنگلىيەدىكى
تەربىيىسىدىن	تەربىيەسىدىن
رەددىيىلەرنى	رەددىيەلەرنى
بۇلغارىيىنىڭ	بۇلغارىيەنىڭ
ئىدىيىلىرىگە	ئىدىيەلىرىگە
شىۋېتسىيىلىك	شىۋېتسىيەلىك
تېرىتورىيىدە	تېرىتورىيەدە
بىئولوگىيىگە	بىئولوگىيەگە
پوزىتسىيىدۇر	پوزىتسىيەدۇر
ئاسترولوگىيى	ئاسترولوگىيە
ئاسترونومىيى	ئاسترونومىيە
ئېنېرگىيىلىك	ئېنېرگىيەلىك
نورماندىيىدە	نورماندىيەدە
ئالجىرىيىدىن	ئالجىرىيەدىن
ئالبانىيىلىك	ئالبانىيەلىك
سەۋىيىسىدىكى	سەۋىيەسىدىكى
ناھىيىلەرنىڭ	ناھىيەلەرنىڭ
گارمونىيىدىن	گارمونىيەدىن
جۇغراپىيىنىڭ	جۇغراپىيەنىڭ
ئارمىيىسىدىن	ئارمىيەسىدىن
مەدھىيىلەشكە	مەدھىيەلەشكە
تەربىيىلەشتە	تەربىيەلەشتە
ياپونىيىدىكى	ياپونىيەدىكى
نورۋېگىيىلىك	نورۋېگىيەلىك
نەزەرىيىچىسى	نەزەرىيەچىسى
جۇغراپىيىۋىي	جۇغراپىيەۋىي
تەنتەربىيىسى	تەنتەربىيەسى
فرانسىيىدىكى	فرانسىيەدىكى
گىمنازىيىنىڭ	گىمنازىيەنىڭ
نەزەرىيىسىمۇ	نەزەرىيەسىمۇ
بىيولوگىيىچە	بىيولوگىيەچە
فانتازىيىلىك	فانتازىيەلىك
مېلودىيىسىنى	مېلودىيەسىنى
فىنلاندىيىنى	فىنلاندىيەنى
تىراگېدىيىنى	تىراگېدىيەنى
جۇغراپىيىلىك	جۇغراپىيەلىك
ياپونىيىدىمۇ	ياپونىيەدىمۇ
ئوكيانىيىنىڭ	ئوكيانىيەنىڭ
ئەنگلىيىدىمۇ	ئەنگلىيەدىمۇ
كومپارتىيىگە	كومپارتىيەگە
ئەنگىلىيىلىك	ئەنگىلىيەلىك
چاررۇسىيىنىڭ	چاررۇسىيەنىڭ
ئالبانىيىنىڭ	ئالبانىيەنىڭ
ئىدىيىۋىلىكى	ئىدىيەۋىلىكى
كاتېگورىيىدە	كاتېگورىيەدە
فۇنكسىيىلىرى	فۇنكسىيەلىرى
نىگېرىيىدىكى	نىگېرىيەدىكى
ئىنتوناتسىيى	ئىنتوناتسىيە
تەربىيىلەشكە	تەربىيەلەشكە
مەدھىيىچىلەر	مەدھىيەچىلەر
گوللاندىيىگە	گوللاندىيەگە
ئالجىرىيىنىڭ	ئالجىرىيەنىڭ
ئىمپېرىيىنىڭ	ئىمپېرىيەنىڭ
تەربىيىلىگەن	تەربىيەلىگەن
فۇنكسىيىسىنى	فۇنكسىيەسىنى
موڭغۇلىيىدەك	موڭغۇلىيەدەك
گوللاندىيىدە	گوللاندىيەدە
ئىدىيىلىرىمۇ	ئىدىيەلىرىمۇ
ئىسپانىيىلىك	ئىسپانىيەلىك
سۈرىيىلىكلەر	سۈرىيەلىكلەر
ناھىيىلىرىنى	ناھىيەلىرىنى
شۋېتسىيىدىكى	شۋېتسىيەدىكى
رۇسىيىلىكلەر	رۇسىيەلىكلەر
پارتىيىلەرگە	پارتىيەلەرگە
ۋېنگىرىيىنىڭ	ۋېنگىرىيەنىڭ
سىمفونىيىلىك	سىمفونىيەلىك
موڭغۇلىيىدىن	موڭغۇلىيەدىن
نەزەرىيىلىرى	نەزەرىيەلىرى
مانجۇرىيىنىڭ	مانجۇرىيەنىڭ
كاتىگورىيىگە	كاتىگورىيەگە
كومېدىيىسىدە	كومېدىيەسىدە
ئىدىيىلەردىن	ئىدىيەلەردىن
نەزەرىيىسىنى	نەزەرىيەسىنى
پارتىيىلەرمۇ	پارتىيەلەرمۇ
تەنتەربىيىچى	تەنتەربىيەچى
ئېكولوگىيىسى	ئېكولوگىيەسى
ئىدېئولوگىيى	ئىدېئولوگىيە
فىنلاندىيىدە	فىنلاندىيەدە
تەربىيىچىلەر	تەربىيەچىلەر
مېلودىيىسىگە	مېلودىيەسىگە
گارمونىيىنىڭ	گارمونىيەنىڭ
شىۋىتسىيىنىڭ	شىۋىتسىيەنىڭ
روسىيىلىكلەر	روسىيەلىكلەر
ستراتېگىيىسى	ستراتېگىيەسى
ئاناتولىيىدە	ئاناتولىيەدە
گېئولوگىيىسى	گېئولوگىيەسى
دېۋىزىيىدىكى	دېۋىزىيەدىكى
ئىدىيىمىزنىڭ	ئىدىيەمىزنىڭ
ناھىيىلەردىن	ناھىيەلەردىن
مەدەنىيەتىمۇ	مەدەنىيىتىمۇ
ئالجىرىيىنى	ئالجىرىيەنى
گېرمانىيىچە	گېرمانىيەچە
پارتىيىسىنى	پارتىيەسىنى
فرانسىيىنىڭ	فرانسىيەنىڭ
كومېدىيىلەر	كومېدىيەلەر
نەزەرىيىدىن	نەزەرىيەدىن
برىتانىيىگە	برىتانىيەگە
باكتېرىيىگە	باكتېرىيەگە
رەددىيىسىنى	رەددىيەسىنى
مەدھىيىسىگە	مەدھىيەسىگە
ئىسپانىيىدە	ئىسپانىيەدە
ئىتالىيىدىن	ئىتالىيەدىن
دېۋىزىيىنىڭ	دېۋىزىيەنىڭ
ياپونىيىدىن	ياپونىيەدىن
گىمنازىيىسى	گىمنازىيەسى
ئېمپىرىيىسى	ئېمپىرىيەسى
ئىمپېرىيىسى	ئىمپېرىيەسى
مەرسىيىلىرى	مەرسىيەلىرى
ئەنگلىيىدىن	ئەنگلىيەدىن
ئېنېرگىيىنى	ئېنېرگىيەنى
ئوتۇپىيىنىڭ	ئوتۇپىيەنىڭ
ئىدىيىلەرگە	ئىدىيەلەرگە
نەزەرىيىۋىي	نەزەرىيەۋىي
زىتسىيىسىنى	زىتسىيەسىنى
پسىخولوگىيى	پسىخولوگىيە
ئىئوردانىيى	ئىئوردانىيە
گرېتسىيىدىن	گرېتسىيەدىن
ئېنېرگىيىسى	ئېنېرگىيەسى
سىتسىلىيىگە	سىتسىلىيەگە
گارمونىيىنى	گارمونىيەنى
ئاۋسترىيىگە	ئاۋسترىيەگە
ئىدىيىلەرمۇ	ئىدىيەلەرمۇ
جۇغراپىيىۋى	جۇغراپىيەۋى
ئىسپانىيىگە	ئىسپانىيەگە
ئاپتونومىيى	ئاپتونومىيە
جۇغراپىيىسى	جۇغراپىيەسى
ھەدىيىلەرنى	ھەدىيەلەرنى
ئەنگلىيىنىڭ	ئەنگلىيەنىڭ
موڭغۇلىيىنى	موڭغۇلىيەنى
ياپونىيىنىڭ	ياپونىيەنىڭ
تەربىيىچىسى	تەربىيەچىسى
موڭغۇلىيىدە	موڭغۇلىيەدە
تەربىيىلىشى	تەربىيەلىشى
سىمفونىيىسى	سىمفونىيەسى
دىۋىزىيىدىن	دىۋىزىيەدىن
گىمنازىيىدە	گىمنازىيەدە
ئىتالىيىلەر	ئىتالىيەلەر
تەربىيىسىگە	تەربىيەسىگە
فۇنكسىيىنىڭ	فۇنكسىيەنىڭ
گىرېتسىيىگە	گىرېتسىيەگە
ۋىنگىرىيىدە	ۋىنگىرىيەدە
موڭغۇلىيىگە	موڭغۇلىيەگە
ئالجىرىيىدە	ئالجىرىيەدە
نورۋىگىيىدە	نورۋىگىيەدە
گرېتسىيىنىڭ	گرېتسىيەنىڭ
رەددىيىلىرى	رەددىيەلىرى
ۋېنگىرىيىگە	ۋېنگىرىيەگە
تىراگېدىيىم	تىراگېدىيەم
ئارمىيىسىمۇ	ئارمىيەسىمۇ
ئاۋسترىيىدە	ئاۋسترىيەدە
قاپىيىلىنىش	قاپىيەلىنىش
ئىدىيىسىدىن	ئىدىيەسىدىن
ئەنگلىيىدەك	ئەنگلىيەدەك
تېررىتورىيى	تېررىتورىيە
كومېدىيىلىك	كومېدىيەلىك
ئارمىيىسىدە	ئارمىيەسىدە
رومىنىيىنىڭ	رومىنىيەنىڭ
فۇنكسىيىلەر	فۇنكسىيەلەر
سىبىرىيىدىن	سىبىرىيەدىن
ناھىيىلەرگە	ناھىيەلەرگە
سېربىيىدىكى	سېربىيەدىكى
فونكىسىيىسى	فونكىسىيەسى
شۋېتسىيىنىڭ	شۋېتسىيەنىڭ
دېموكراتىيى	دېموكراتىيە
كومېدىيىدىن	كومېدىيەدىن
پوزىتسىيىسى	پوزىتسىيەسى
گېرمانىيىسى	گېرمانىيەسى
تۈركىيىدىكى	تۈركىيەدىكى
تراگېدىيىسى	تراگېدىيەسى
ۋېنگرىيىنىڭ	ۋېنگرىيەنىڭ
قەشقەرىيىگە	قەشقەرىيەگە
نەزەرىيىلەر	نەزەرىيەلەر
پوزىتسىيىدە	پوزىتسىيەدە
پىسخولوگىيى	پىسخولوگىيە
ئىمپېرىيىنى	ئىمپېرىيەنى
رەددىيىسىدە	رەددىيەسىدە
ۋىنگىرىيىگە	ۋىنگىرىيەگە
فېدېراتسىيى	فېدېراتسىيە
گىمنازىيىنى	گىمنازىيەنى
تەربىيىسىدە	تەربىيەسىدە
بوسنىيىدىكى	بوسنىيەدىكى
مورفولوگىيى	مورفولوگىيە
ئارمىيىدىكى	ئارمىيەدىكى
گارمونىيىسى	گارمونىيەسى
ئېنېرگىيىگە	ئېنېرگىيەگە
گىرېتسىيىدە	گىرېتسىيەدە
شۋېتسىيىلىك	شۋېتسىيەلىك
سىبىرىيىنىڭ	سىبىرىيەنىڭ
پوزىتسىيىگە	پوزىتسىيەگە
نىگېرىيىنىڭ	نىگېرىيەنىڭ
نەزەرىيىدۇر	نەزەرىيەدۇر
تەربىيىسىنى	تەربىيەسىنى
ۋېنگىرىيىدە	ۋېنگىرىيەدە
ئەنگىلىيىنى	ئەنگىلىيەنى
مانجۇرىيىنى	مانجۇرىيەنى
ئارمىيىسىنى	ئارمىيەسىنى
پارتىيىسىگە	پارتىيەسىگە
نىگېرىيىدىن	نىگېرىيەدىن
ئىدىيىلەردە	ئىدىيەلەردە
گېرمانىيىنى	گېرمانىيەنى
فىرانسىيىنى	فىرانسىيەنى
جۇغراپىيىگە	جۇغراپىيەگە
لىنىيىسىنىڭ	لىنىيەسىنىڭ
ئىتالىيىلىك	ئىتالىيەلىك
رەددىيىسىگە	رەددىيەسىگە
رومىنىيىلىك	رومىنىيەلىك
باكتېرىيىنى	باكتېرىيەنى
تۈركىيىدىمۇ	تۈركىيەدىمۇ
تۈركىيىگىچە	تۈركىيەگىچە
ئەرمىنىيىگە	ئەرمىنىيەگە
جۇغراپىيىدە	جۇغراپىيەدە
سەۋىيىسىنىڭ	سەۋىيەسىنىڭ
فىرانسىيىدە	فىرانسىيەدە
مولداۋىيىگە	مولداۋىيەگە
مېلودىيىلىك	مېلودىيەلىك
ئىسپانىيىنى	ئىسپانىيەنى
ناھىيىسىدىن	ناھىيەسىدىن
مېلودىيىلەر	مېلودىيەلەر
ئىدىيىسىنىڭ	ئىدىيەسىنىڭ
مىلادىيىنىڭ	مىلادىيەنىڭ
ناھىيىلەردە	ناھىيەلەردە
ئارمىيىسىگە	ئارمىيەسىگە
فرانسىيىلەر	فرانسىيەلەر
ئەرمىنىيىنى	ئەرمىنىيەنى
ھىندونېزىيى	ھىندونېزىيە
ياپونىيىدەك	ياپونىيەدەك
ستۇدىيىسىگە	ستۇدىيەسىگە
گېرمانىيىگە	گېرمانىيەگە
گارمونىيىگە	گارمونىيەگە
نورۋېگىيىگە	نورۋېگىيەگە
تەربىيىلىدى	تەربىيەلىدى
پارتىيىسىمۇ	پارتىيەسىمۇ
گېرمانىيىدە	گېرمانىيەدە
فۇنكسىيىلىك	فۇنكسىيەلىك
ئىدىيىلەرنى	ئىدىيەلەرنى
ئىدىيىۋىلىك	ئىدىيەۋىلىك
جۇڭغارىيىدە	جۇڭغارىيەدە
گىمنازىيىگە	گىمنازىيەگە
رۇمىنىيىلەر	رۇمىنىيەلەر
تەۋسىيىسىنى	تەۋسىيەسىنى
فرانسىيىلىك	فرانسىيەلىك
سەۋىيىسىدىن	سەۋىيەسىدىن
سېنارىيىلەر	سېنارىيەلەر
جۇغراپىيىنى	جۇغراپىيەنى
دىپلوماتىيى	دىپلوماتىيە
پارتىيىڭلار	پارتىيەڭلار
نەزەرىيىنىڭ	نەزەرىيەنىڭ
ئىمپېرىيىگە	ئىمپېرىيەگە
مانجۇرىيىدە	مانجۇرىيەدە
مەدھىيىلىشى	مەدھىيەلىشى
لىنىيىسىدىن	لىنىيەسىدىن
لېكسىيىسىنى	لېكسىيەسىنى
پارتىيىسىدە	پارتىيەسىدە
تەربىيىنىمۇ	تەربىيەنىمۇ
فرانسىيىدىن	فرانسىيەدىن
چاررۇسىيىگە	چاررۇسىيەگە
گرېتسىيىلىك	گرېتسىيەلىك
لېكسىيىمنىڭ	لېكسىيەمنىڭ
ئىسرائىلىيى	ئىسرائىلىيە
شىۋېتسىيىدە	شىۋېتسىيەدە
ئىسپانىيىسى	ئىسپانىيەسى
مىلادىيىدىن	مىلادىيەدىن
ئاۋسترىيىنى	ئاۋسترىيەنى
تەۋسىيىلىرى	تەۋسىيەلىرى
پارتىيىلىرى	پارتىيەلىرى
ئىتالىيىنىڭ	ئىتالىيەنىڭ
ئەنگىلىيىدە	ئەنگىلىيەدە
فىرانسىيىگە	فىرانسىيەگە
ئاۋسترالىيى	ئاۋسترالىيە
ناھىيىسىنىڭ	ناھىيەسىنىڭ
گېرمانىيىمۇ	گېرمانىيەمۇ
كومىسسىيىسى	كومىسسىيەسى
ياپونىيىلىك	ياپونىيەلىك
ئەنگلىيىلىك	ئەنگلىيەلىك
ناھىيىلەرنى	ناھىيەلەرنى
پوزىتسىيىنى	پوزىتسىيەنى
لىنىيىلىرى	لىنىيەلىرى
ئىجرائىيىت	ئىجرائىيەت
سەۋىيىسىمۇ	سەۋىيەسىمۇ
ئەنگلىيىگە	ئەنگلىيەگە
ياپونىيىگە	ياپونىيەگە
نەزەرىيىۋى	نەزەرىيەۋى
قاپىيىسىنى	قاپىيەسىنى
تەربىيىلىك	تەربىيەلىك
شۋېتسىيىنى	شۋېتسىيەنى
روسسىيىنىڭ	روسسىيەنىڭ
تۈركىيىنىڭ	تۈركىيەنىڭ
ئاناتومىيى	ئاناتومىيە
دانىيىدىكى	دانىيەدىكى
فرانسىيىدە	فرانسىيەدە
ياپونىيىمۇ	ياپونىيەمۇ
فىنلاندىيى	فىنلاندىيە
ئەنگلىيىنى	ئەنگلىيەنى
سۈرىيىدىكى	سۈرىيەدىكى
گوللاندىيى	گوللاندىيە
لىنىيىسىنى	لىنىيەسىنى
سەۋىيىسىدە	سەۋىيەسىدە
فۇنكسىيىگە	فۇنكسىيەگە
ئارمىيىمىز	ئارمىيەمىز
لىنىيىسىگە	لىنىيەسىگە
سەۋىيىسىگە	سەۋىيەسىگە
كومېدىيىنى	كومېدىيەنى
پوزىتسىيىم	پوزىتسىيەم
تەربىيىنىڭ	تەربىيەنىڭ
ئىدىيىسىگە	ئىدىيەسىگە
پارتىيىدىن	پارتىيەدىن
پېرسىيىنىڭ	پېرسىيەنىڭ
رۇسسىيىلىك	رۇسسىيەلىك
رۇسىيىدىكى	رۇسىيەدىكى
دېۋىزىيىدە	دېۋىزىيەدە
سەۋىيىسىنى	سەۋىيەسىنى
سەۋىيىلىرى	سەۋىيەلىرى
ئارمىيىدىن	ئارمىيەدىن
بوسنىيىنىڭ	بوسنىيەنىڭ
گرېتسىيىمۇ	گرېتسىيەمۇ
بوسىنىيىگە	بوسىنىيەگە
تۈركىيىدىن	تۈركىيەدىن
رۇسسىيىنىڭ	رۇسسىيەنىڭ
ئېفىيوپىيى	ئېفىيوپىيە
پېرسىيىلىك	پېرسىيەلىك
تېلېۋىزىيى	تېلېۋىزىيە
نەزەرىيىدە	نەزەرىيەدە
سەۋىيىدىكى	سەۋىيەدىكى
ئېكولوگىيى	ئېكولوگىيە
ھىجرىيىنىڭ	ھىجرىيەنىڭ
نەزىرىيىسى	نەزىرىيەسى
تىراگېدىيى	تىراگېدىيە
روسىيىدىكى	روسىيەدىكى
ئاكادېمىيى	ئاكادېمىيە
ئىدىيىسىمۇ	ئىدىيەسىمۇ
لېكسىيىنىڭ	لېكسىيەنىڭ
تۈركىيىلەر	تۈركىيەلەر
فرانسىيىمۇ	فرانسىيەمۇ
نەزەرىيىنى	نەزەرىيەنى
ئىدىيىسىدە	ئىدىيەسىدە
تۈركىيىلىك	تۈركىيەلىك
كومېدىيىسى	كومېدىيەسى
ئىدىيىسىنى	ئىدىيەسىنى
سېربىيىنىڭ	سېربىيەنىڭ
ئىتالىيىمۇ	ئىتالىيەمۇ
تەربىيىلەپ	تەربىيەلەپ
پارتىيىسىز	پارتىيەسىز
ئىدىيىدىكى	ئىدىيەدىكى
فۇنكسىيىسى	فۇنكسىيەسى
تۈركىيىدەك	تۈركىيەدەك
بوسىنىيىدە	بوسىنىيەدە
شۋېتسىيىگە	شۋېتسىيەگە
پارتىيىلىك	پارتىيەلىك
